"active_date","address","boro","census_tract","city","community_board","corner","council_district","cross_street_1","cross_street_2","install_date","latitude","longitude","nta","nta_name","phone_status","ppt_id","site_id","state","status","tablet_status","wifi_status","zip"
,"1 EAST 177 STREET","Bronx","23301","New York","5","SE","14","JEROME AVENUE","WALTON AVENUE","2018-06-20T00:00:00.000","40.85017299776705","-73.91028172558197","BX41","Mount Hope","Not Available","GF2060","bx-05-gf2060","NY","Link Installed; Connecting Power and Fiber","Not Available","Not Available","10453"
"2017-05-08T00:00:00.000","575 NOSTRAND AVENUE","Brooklyn","315","New York","8","SE","36","PACIFIC STREET","DEAN STREET","2017-03-24T00:00:00.000","40.677504","-73.94969703","BK61","Crown Heights North","up","145831","bk-08-145831","NY","Link Active!","up","up","11216"
"2017-04-20T00:00:00.000","2069 FULTON STREET","Brooklyn","369","New York","16","NE","37","ROCKAWAY AVENUE","TRUXTON STREET","2017-03-03T00:00:00.000","40.67831185","-73.91025266","BK79","Ocean Hill","up","145761","bk-16-145761","NY","Link Active!","up","up","11233"
"2018-02-15T00:00:00.000","4 WEST 51 STREET","Manhattan","104","New York","5","SW","4","5 AVENUE","6 AVENUE","2017-02-11T00:00:00.000","40.7592052","-73.97699037","MN17","Midtown-Midtown South","up","122867_122868","mn-05-122867","NY","Link Active!","up","up","10111"
,"4201 3 AVENUE","Bronx","395","New York","6","SE","15","EAST TREMONT AVENUE","EAST 176 STREET","2018-06-20T00:00:00.000","40.8464767576844","-73.89639315779851","BX01","Claremont-Bathgate","Not Available","GF22152","bx-06-gf22152","NY","Link Installed; Connecting Power and Fiber","Not Available","Not Available","10457"
"2017-10-20T00:00:00.000","2 WEST 53 STREET","Manhattan","104","New York","5","SW","4","5 AVENUE","6 AVENUE","2016-10-29T00:00:00.000","40.76047373","-73.97609914","MN17","Midtown-Midtown South","up","122871_122873","mn-05-122871","NY","Link Active!","up","up","10019"
"2017-10-20T00:00:00.000","2 WEST 49 STREET","Manhattan","96","New York","5","SW","4","5 AVENUE","6 AVENUE","2017-04-02T00:00:00.000","40.7579579121","-73.97792563","MN17","Midtown-Midtown South","up","122878_122879","mn-05-122878","NY","Link Active!","up","up","10020"
"2018-02-20T00:00:00.000","1 WEST 17 STREET","Manhattan","54","New York","5","NW","3","5 AVENUE","6 AVENUE","2017-02-11T00:00:00.000","40.73803969","-73.9923767","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","up","123023","mn-05-123023","NY","Link Active!","up","up","10011"
"2017-08-07T00:00:00.000","100 EAST 22 STREET","Manhattan","68","New York","5","SE","2","PARK AVENUE","LEXINGTON AVENUE","2017-03-11T00:00:00.000","40.739409","-73.986712","MN21","Gramercy","up","123077_123174","mn-05-123077","NY","Link Active!","up","up","10010"
"2018-04-04T00:00:00.000","592 6 AVENUE","Manhattan","54","New York","5","NE","3","WEST 18 STREET","WEST 17 STREET","2018-02-04T00:00:00.000","40.73933558","-73.99526424","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","up","123137","mn-05-123137","NY","Link Active!","up","up","10011"
"2018-02-09T00:00:00.000","38 UNION SQUARE EAST","Manhattan","50","New York","5","NE","2","EAST 16 STREET","EAST 17 STREET","2017-11-18T00:00:00.000","40.736141","-73.989183","MN21","Gramercy","up","123155_123156_123157","mn-05-123155","NY","Link Active!","up","up","10003"
"2016-11-21T00:00:00.000","18 UNION SQUARE EAST","Manhattan","50","New York","5","NE","2","EAST 15 STREET","EAST 14 STREET","2016-10-08T00:00:00.000","40.735187","-73.989871","MN21","Gramercy","up","123158_123159","mn-05-123158","NY","Link Active!","up","up","10003"
"2017-08-07T00:00:00.000","14 EAST 23 STREET","Manhattan","56","New York","5","MIDBLK","2","BROADWAY","MADISON AVENUE","2017-03-11T00:00:00.000","40.74083617","-73.98813578","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","up","123292_123293","mn-05-123292","NY","Link Active!","up","up","10010"
"2017-04-14T00:00:00.000","50 LEXINGTON AVENUE","Manhattan","68","New York","5","NW","2","EAST 24 STREET","EAST 25 STREET","2017-02-04T00:00:00.000","40.7403098","-73.9842789","MN21","Gramercy","up","123299","mn-05-123299","NY","Link Active!","down","up","10010"
"2017-11-02T00:00:00.000","766 6 AVENUE","Manhattan","58","New York","5","SE","3","WEST 26 STREET","WEST 25 STREET","2017-08-19T00:00:00.000","40.744668","-73.991375","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","up","123642_139249","mn-05-123642","NY","Link Active!","up","up","10010"
